id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
11797,Fright Night,1985-08-02,9000000,24922237,Released,There are some very good reasons to be afraid of the dark.,107,1.222E+01,en,,false,"Nobody believes teenager Charley Brewster when he discovers that his suave new neighbor, Jerry Dandrige, is a vampire. So when the bloodsucker starts stalking Charley, he turns to has-been actor Peter Vincent, famed for portraying a ghoul hunter. Unfortunately for the would-be vampire slayers, Dandrige has set his sights on Charley's girlfriend.",English,United States of America,"Columbia Pictures,Delphi IV Productions,Vistar Films",Horror
428078,Mortal Engines,2018-11-27,100000000,83672673,Released,Some scars never heal,129,2.4291E+01,en,http://www.mortalengines.com,false,"Many thousands of years in the future, Earth’s cities roam the globe on huge wheels, devouring each other in a struggle for ever diminishing resources. On one of these massive traction cities, the old London, Tom Natsworthy has an unexpected encounter with a mysterious young woman from the wastelands who will change the course of his life forever.",English,"New Zealand,United States of America","Scholastic Productions,Silvertongue Films,Universal Pictures,WingNut Films,MRC","Adventure,Fantasy"
638,Lost Highway,1997-01-15,15000000,3675201,Released,,134,1.4476E+01,en,,false,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",English,"United States of America,France","CiBy 2000,October Films,Asymmetrical Productions,Lost Highway Productions","Drama,Thriller,Mystery"
43881,San Francisco,1936-06-26,1300000,5273000,Released,She Fell In Love . . . with the toughest guy on the toughest street in the world !,115,4.088E+00,en,,false,A beautiful singer and a battling priest try to reform a Barbary Coast saloon owner in the days before the big earthquake.,English,United States of America,Metro-Goldwyn-Mayer,"Music,Drama,Romance"
118340,Guardians of the Galaxy,2014-07-30,170000000,772776600,Released,All heroes start somewhere.,121,2.5121E+01,en,http://marvel.com/guardians,false,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",English,United States of America,Marvel Studios,"Action,Science Fiction,Adventure"
11837,Watership Down,1978-10-14,1000000,3713768,Released,"All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you.",88,9.582E+00,en,,false,"When the warren belonging to a community of rabbits is threatened, a brave group led by Fiver, Bigwig, Blackberry and Hazel leave their homeland in a search of a safe new haven.",English,United Kingdom,"AVCO Embassy Pictures,Nepenthe Productions,Watership Productions","Adventure,Animation,Drama"
746,The Last Emperor,1987-10-21,23000000,43984230,Released,"He was the Lord of Ten Thousand Years, the absolute monarch of China. He was born to rule a world of ancient tradition. Nothing prepared him for our world of change.",219,1.1752E+01,en,,false,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",",普通话,English,日本語","China,France,Italy,United Kingdom","Hemdale Film Corporation,Recorded Pictures Company,Soprofilms,TAO Film,Yanco","Drama,History"
395,AVP: Alien vs. Predator,2004-08-12,70000000,171183863,Released,Whoever wins... We lose,101,1.6575E+01,en,http://www.avp-movie.com/,false,"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.","Italiano,English","Canada,Czech Republic,Germany,United Kingdom,United States of America","Revolution Sun Studios,Impact Pictures,Studio Babelsberg,Davis Entertainment,Stillking Films,Brandywine Productions,Lonlink Productions,Kut Productions,Inside Track Films,Charenton Productions Limited,20th Century Fox","Adventure,Science Fiction,Action,Horror"
712,Four Weddings and a Funeral,1994-03-09,6000000,254700832,Released,Five good reasons to stay single.,117,1.3511E+01,en,http://workingtitlefilms.com/film.php?filmID=59,false,"Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love.",English,United Kingdom,"PolyGram Filmed Entertainment,Channel Four Films,Working Title Films","Comedy,Drama,Romance"
5876,The Mist,2007-11-21,18000000,57096190,Released,"Belief divides them, mystery surrounds them, but fear changes everything.",126,1.5677E+01,en,http://www.themist-movie.com/,false,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",English,United States of America,"Darkwoods Productions,Dimension Films","Horror,Science Fiction,Thriller"
27029,The Nun's Story,1959-06-18,3500000,12800000,Released,Her Faith Remained Strong and True in the Face of Africa's Terrors!,149,5.886E+00,en,,false,Gabrielle Van Der Mal gave up everything to become a nun. But her faith and her vows are forever being tested: first in the missionary Congo hospital where she assists the brilliant and handsome Dr. Fortunati and then at the mother house in France when World War II has broken out and the nuns are forbidden by the order to take sides.,English,United States of America,Warner Bros. Pictures,Drama
9768,Cry-Baby,1990-04-05,11000000,8266343,Released,Good girls want him bad. Bad girls want him worse.,85,1.2788E+01,en,,false,A prim and proper schoolgirl goes against her grandmother's wishes when she dates a motorcycle-riding juvenile delinquent.,English,United States of America,"Universal Pictures,Imagine Entertainment","Comedy,Music,Romance"
9313,The Man in the Iron Mask,1998-03-12,35000000,182968902,Released,For the honor of a king. And the destiny of a country. All for one.,132,1.3671E+01,en,,false,"Years have passed since the Three Musketeers, Aramis, Athos and Porthos, have fought together with their friend, D'Artagnan. But with the tyrannical King Louis using his power to wreak havoc in the kingdom while his twin brother, Philippe, remains imprisoned, the Musketeers reunite to abduct Louis and replace him with Philippe.",English,"United Kingdom,United States of America","United Artists,Metro-Goldwyn-Mayer","Action,Adventure,Drama,History"
11287,A League of Their Own,1992-07-01,40000000,132440069,Released,"To achieve the incredible, you have to attempt the impossible.",128,1.3049E+01,en,,false,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey (Garry Marshall). Competitive sisters Dottie Hinson (Geena Davis) and Kit Keller (Lori Petty) spar with each other, scout Ernie Capadino (Jon Lovitz) and grumpy has-been coach Jimmy Dugan (Tom Hanks) on their way to fame. Madonna and Rosie O'Donnell co-star as two of the sisters' teammates.",English,United States of America,"Parkway Productions,Columbia Pictures","Comedy,Drama,History"
353486,Jumanji: Welcome to the Jungle,2017-12-09,90000000,962102237,Released,The game has evolved.,119,2.4671E+01,en,http://jumanjimovie.com,false,"The tables are turned as four teenagers are sucked into Jumanji's world - pitted against rhinos, black mambas and an endless variety of jungle traps and puzzles. To survive, they'll play as characters from the game.",English,United States of America,"Radar Pictures,Matt Tolmach Productions,Seven Bucks Productions,Columbia Pictures,Sony Pictures","Action,Adventure,Comedy,Fantasy"
9482,Judge Dredd,1995-06-30,90000000,113493481,Released,"In the future, one man is the law.",96,1.5601E+01,en,,false,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",English,United States of America,"Cinergi Pictures Entertainment,Hollywood Pictures",Science Fiction
39513,Paul,2011-02-14,40000000,97552050,Released,Who's up for a close encounter?,104,1.6842E+01,en,,false,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",English,"United States of America,United Kingdom","Universal Pictures,Relativity Media,Working Title Films,Big Talk Productions","Adventure,Comedy,Science Fiction"
