id,title,release_date,budget,revenue,status,tagline,runtime,popularity,original_language,homepage,adult,overview,languages,production_countries,production_companies,genres
201893,Treasures O.K.,2013-05-01,6000000,1431461,Released,There's no time to explain,110,2.37E+00,ru,,false,"Kirill and Gulnara are looking for the legendary treasure of Ivan Grozny... Maybe they will find it, maybe not - but they will definitely find each other.",Pусский,Russia,,"Comedy,Adventure,Romance"
296902,Vellimoonga,2014-09-25,420000,3700000,Released,,129,2.479E+00,ml,,false,"Mamachan is a forty-year-old man, who gets involved in politics due to his father. He becomes a national leader and contests for elections. In the course of his work, he meets a young girl and falls in love with her. As fate would have it, she turns out to be the daughter of the woman he loved in his youth.",,India,Bhavana Mediavision,"Comedy,Romance"
41894,Blood Done Sign My Name,2010-02-01,10000000,82739,Released,No one changes the world alone.,0,1.684E+00,en,,false,A drama based on the true story in which a black Vietnam-era veteran is allegedly murdered by a local white businessman who is later exonerated. The plot focuses on the role of a local high school teacher and the civil unrest that followed the acquittal.,,,,"Drama,Crime"
128206,Shahid,2012-10-18,970000,6100000,Released,Based On The Life Of One Of The Most Controversial Figures Of Our Time.,129,2.1E+00,hi,,false,"A story based on real-life human-rights and criminal lawyer, Shahid Azmi, who was slain while defending the wrongly accused by the law in terrorist activities.",हिन्दी,India,"Anurag Kashyap Films,Bohra Bros Productions,Paramhans Creations","Drama,Crime"
450047,Tiyaan,2017-07-07,2400000,2000000,Released,When miracle meets man epics are Born,168,3.049E+00,ml,,false,"The lives of a vedic scholar Pattabhiramagiri and his family come under threat after a godman and his goons try to displace him from his centuries-old ancestral home as part of building an ashram. The “curse” that befalls Pattabhiraman in the face of opposition leaves him broken, till a mysterious ally lends him his support. Their fight against the evil forces forms the rest of the plot.","हिन्दी,",India,Red Rose Creations,Drama
329135,OK Kanmani,2015-04-16,940000,5100000,Released,Plans Open Tomorrow.,139,2.734E+00,ta,,false,Adhi and Tara are in a live-in relationship but they are both unwilling to get married. How do they realize that marriage is just a natural progression of their relationship?,",தமிழ்,తెలుగు",India,Madras Talkies,"Romance,Drama"
187527,Tell 'em Steve-Dave: Puppet Theater,2013-04-19,46,46,Released,Adapting your favorite TESD moments: with puppets!,94,2.353E+00,en,http://www.kickstarter.com/projects/1799430805/tell-em-steve-dave-puppet-theatre,false,"A feature-length adaptation of the award-winning digital broadcast, ""Tell 'em Steve-Dave"". Sort of like the Muppets, but with much darker subject matter.  Bry, Walt and Q (with occasional guests) host a weekly podcast #TESD to discuss the ups and downs of their life. For the first time ever, experience some of the most popular of their legendary tales through the medium of puppetry.",English,United States of America,,Comedy
117784,Department,2012-05-18,3200000,4800000,Released,Justice Is Their Crime,141,2.091E+00,hi,,false,A police inspector recruits a suspended cop for a specialized task force to battle organized crime.,हिन्दी,India,Dreamforce Enterprise,"Action,Thriller"
412741,Auto Shop of Horrors,2016-10-26,1200,4300,Released,,86,2.901E+00,en,,false,"A mentally disturbed car mechanic, with a deep fascination of Aztec culture, is convinced that if he consumes enough human eyeballs, he'll possess the ability to see in the future.",,United States of America,"GallaFilms,Driving With Our Eyes Shut","Comedy,Horror"
442000,Angamaly Diaries,2017-03-03,610000,3100000,Released,,132,3.027E+00,ml,,false,Six young friends in the small town of Angamaly tries their luck by starting a pork business lead by Vincent Pepe. They initially strike a business deal with Rajan and Ravi despite the duo having killed a close friend of theirs in a gang fight. Vincent is in love with Sakhi and plan to immigrate abroad with her. But their plans hit a road bump as the deal with the gangsters hits some road bumps.,,India,Friday Film House,"Action,Drama"
